Problem;p-value;R+;R-;Result
1;0.01597297191619873;251.0;74.0;+
2;1.0;0.0;0.0;=
3;0.33807079823287334;111.0;43.0;-
4;0.007685794055213263;189.0;0.0;-
5;0.507703959941864;137.0;188.0;+
6;0.08513903617858887;227.0;98.0;+
7;5.960464477539063e-08;0.0;325.0;-
8;1.0;0.0;0.0;=
9;1.0;0.0;0.0;=
10;0.5219052641890858;45.0;90.0;-
11;0.312333345413208;201.0;124.0;+
12;0.029788073548049042;154.0;0.0;-
13;1.0;0.0;0.0;=
14;1.0;0.0;0.0;=
15;1.0;0.0;0.0;=
16;1.0;0.0;0.0;=
17;1.0;0.0;0.0;=
18;0.3512246974850056;110.0;44.0;-
19;1.0;0.0;0.0;=
20;1.0;0.0;0.0;=
Total;0.6084912000282365;1425.0;986.0;4/10/6
